CASEID,YEAR,SAVING,MMDA
567,1989,180.76,0
568,1989,180.76,0
569,1989,180.76,0
570,1989,180.76,0
571,1989,1337.6,0
572,1989,1337.6,0
573,1989,1337.6,0
574,1989,1337.6,0
575,1989,1337.6,0
576,1989,0,0
577,1989,0,0
578,1989,0,0
579,1989,0,0
580,1989,0,0
581,1989,1626.81,0
582,1989,1626.81,0
583,1989,1626.81,0
584,1989,1626.81,0
585,1989,1626.81,0
586,1989,0,0
587,1989,0,0
588,1989,0,0
589,1989,0,0
590,1989,0,0
591,1989,741.1,361.51
592,1989,3524.76,361.51
593,1989,2657.13,361.51
594,1989,1193,361.51
595,1989,488.04,361.51
596,1989,0,0
597,1989,0,0
598,1989,0,0
599,1989,0,0
600,1989,0,0
601,1989,0,0
602,1989,0,0
603,1989,0,0
604,1989,0,0
605,1989,0,0
606,1989,0,361.51
607,1989,0,361.51
608,1989,0,361.51
609,1989,0,361.51
610,1989,0,361.51
611,1989,0,1807.57
612,1989,0,1807.57
613,1989,0,1807.57
614,1989,0,1807.57
615,1989,0,1807.57
616,1989,0,0
617,1989,0,0
618,1989,0,0
619,1989,0,0
620,1989,0,0
621,1989,8134.07,0
622,1989,8134.07,0
623,1989,8134.07,0
624,1989,8134.07,0
625,1989,8134.07,0
626,1989,903.79,0
627,1989,903.79,0
628,1989,903.79,0
629,1989,903.79,0
630,1989,903.79,0
631,1989,0,0
632,1989,0,0
633,1989,41574.13,0
634,1989,0,0
635,1989,1482.21,307.29
636,1989,0,0
637,1989,0,0
638,1989,0,0
639,1989,0,0
640,1989,0,0
641,1989,1446.06,0
642,1989,1446.06,0
643,1989,1446.06,0
644,1989,1446.06,0
645,1989,1446.06,0
646,1989,46635.33,0
647,1989,46635.33,0
648,1989,46635.33,0
649,1989,46635.33,0
650,1989,46635.33,0
651,1989,0,0
652,1989,0,0
653,1989,0,0
654,1989,0,0
655,1989,0,0
656,1989,0,0
657,1989,0,0
658,1989,0,0
659,1989,0,0
660,1989,0,0
661,1989,0,0
662,1989,0,0
663,1989,0,0
664,1989,0,0
665,1989,0,0
666,1989,0,0
667,1989,0,0
668,1989,0,0
669,1989,0,0
670,1989,0,0
671,1989,0,30728.71
672,1989,0,30728.71
673,1989,0,30728.71
674,1989,0,30728.71
675,1989,0,30728.71
676,1989,0,0
677,1989,0,0
678,1989,0,0
679,1989,0,0
680,1989,0,0
681,1989,6868.77,50611.99
682,1989,6868.77,50611.99
683,1989,6868.77,50611.99
684,1989,6868.77,50611.99
685,1989,6868.77,50611.99
686,1989,171719.24,0
687,1989,7230.28,0
688,1989,10845.43,0
689,1989,56486.59,0
690,1989,49617.82,0
691,1989,0,0
692,1989,0,0
693,1989,0,0
694,1989,0,0
695,1989,0,0
696,1989,361.51,0
697,1989,361.51,0
698,1989,361.51,0
699,1989,361.51,0
700,1989,361.51,0
701,1989,0,0
702,1989,0,0
703,1989,0,0
704,1989,0,0
705,1989,0,0
706,1989,0,19883.28
707,1989,0,19883.28
708,1989,0,19883.28
709,1989,0,19883.28
710,1989,0,19883.28
711,1989,0,0
712,1989,0,0
713,1989,0,0
714,1989,0,0
715,1989,0,0
716,1989,0,0
717,1989,0,0
718,1989,0,0
719,1989,0,0
720,1989,0,0
721,1989,0,0
722,1989,0,0
723,1989,0,0
724,1989,0,0
725,1989,0,0
726,1989,45189.27,0
727,1989,45189.27,0
728,1989,45189.27,0
729,1989,45189.27,0
730,1989,45189.27,0
731,1989,5241.96,0
732,1989,5241.96,0
733,1989,5241.96,0
734,1989,5241.96,0
735,1989,5241.96,0
736,1989,1446.06,7230.28
737,1989,1446.06,3615.14
738,1989,1446.06,3615.14
739,1989,1446.06,506.12
740,1989,1446.06,506.12
741,1989,18075.71,0
742,1989,18075.71,0
743,1989,18075.71,0
744,1989,18075.71,0
745,1989,18075.71,0
746,1989,723.03,0
747,1989,723.03,0
748,1989,723.03,0
749,1989,723.03,0
750,1989,723.03,0
751,1989,0,21690.85
752,1989,0,21690.85
753,1989,0,21690.85
754,1989,0,21690.85
755,1989,0,21690.85
756,1989,7230.28,0
757,1989,7230.28,0
758,1989,7230.28,0
759,1989,7230.28,0
760,1989,7230.28,0
761,1989,469.97,0
762,1989,469.97,0
763,1989,469.97,0
764,1989,469.97,0
765,1989,469.97,0
766,1989,90.38,10845.43
767,1989,90.38,10845.43
768,1989,90.38,10845.43
769,1989,90.38,10845.43
770,1989,90.38,10845.43
771,1989,0,1391.83
772,1989,0,2874.04
773,1989,0,4609.31
774,1989,0,4699.68
775,1989,0,2512.52
776,1989,32536.28,0
777,1989,32536.28,0
778,1989,32536.28,0
779,1989,32536.28,0
780,1989,32536.28,0
781,1989,0,0
782,1989,0,0
783,1989,0,0
784,1989,0,0
785,1989,0,0
786,1989,0,0
787,1989,0,0
788,1989,0,0
789,1989,0,0
790,1989,0,0
791,1989,12653,0
792,1989,25305.99,0
793,1989,54227.13,0
794,1989,1626.81,0
795,1989,596.5,0
796,1989,0,0
797,1989,0,0
798,1989,0,0
799,1989,0,0
800,1989,0,0
801,1989,126.53,0
802,1989,126.53,0
803,1989,126.53,0
804,1989,126.53,0
805,1989,126.53,0
806,1989,0,0
807,1989,0,0
808,1989,0,0
809,1989,0,0
810,1989,0,0
811,1989,0,0
812,1989,0,0
813,1989,0,0
814,1989,0,0
815,1989,0,0
816,1989,0,0
817,1989,0,0
818,1989,0,0
819,1989,0,0
820,1989,0,0
821,1989,36.15,1988.33
822,1989,36.15,1988.33
823,1989,36.15,1988.33
824,1989,36.15,1988.33
825,1989,36.15,1988.33
826,1989,9037.85,0
827,1989,9037.85,0
828,1989,9037.85,0
829,1989,9037.85,0
830,1989,9037.85,0
831,1989,216.91,0
832,1989,216.91,0
833,1989,216.91,0
834,1989,216.91,0
835,1989,216.91,0
836,1989,0,0
837,1989,0,0
838,1989,0,0
839,1989,0,0
840,1989,0,0
841,1989,2548.68,0
842,1989,2548.68,0
843,1989,2548.68,0
844,1989,2548.68,0
845,1989,2548.68,0
846,1989,72.3,0
847,1989,72.3,0
848,1989,72.3,0
849,1989,72.3,0
850,1989,72.3,0
851,1989,0,0
852,1989,0,0
853,1989,0,0
854,1989,0,0
855,1989,0,0
856,1989,0,0
857,1989,0,0
858,1989,0,0
859,1989,0,0
860,1989,0,0
861,1989,180847.48,0
862,1989,180847.48,0
863,1989,180847.48,0
864,1989,180847.48,0
865,1989,180847.48,0
866,1989,0,0
867,1989,0,0
868,1989,0,0
869,1989,0,0
870,1989,0,0
871,1989,903.79,1807.57
872,1989,903.79,1807.57
873,1989,903.79,1807.57
874,1989,903.79,1807.57
875,1989,903.79,1807.57
876,1989,542.27,1446.06
877,1989,542.27,1446.06
878,1989,542.27,1446.06
879,1989,542.27,1446.06
880,1989,542.27,1446.06
881,1989,0,27113.56
882,1989,0,27113.56
883,1989,0,27113.56
884,1989,0,27113.56
885,1989,0,27113.56
886,1989,0,0
887,1989,0,0
888,1989,0,0
889,1989,0,0
890,1989,0,0
891,1989,0,0
892,1989,0,0
893,1989,0,0
894,1989,0,0
895,1989,0,0
896,1989,0,0
897,1989,0,0
898,1989,0,0
899,1989,0,0
900,1989,0,0
901,1989,0,0
902,1989,0,0
903,1989,0,0
904,1989,0,0
905,1989,0,0
906,1989,0,0
907,1989,0,0
908,1989,0,0
909,1989,0,0
910,1989,0,0
911,1989,0,0
912,1989,0,0
913,1989,0,0
914,1989,0,0
915,1989,0,0
916,1989,5422.71,0
917,1989,5422.71,0
918,1989,5422.71,0
919,1989,9037.85,0
920,1989,5422.71,0
921,1989,3615.14,0
922,1989,1807.57,0
923,1989,596.5,0
924,1989,7230.28,0
925,1989,271.14,0
926,1989,108.45,0
927,1989,108.45,0
928,1989,108.45,0
929,1989,108.45,0
930,1989,108.45,0
931,1989,542.27,0
932,1989,542.27,0
933,1989,542.27,0
934,1989,542.27,0
935,1989,542.27,0
936,1989,2078.71,0
937,1989,2078.71,0
938,1989,2078.71,0
939,1989,2078.71,0
940,1989,2078.71,0
941,1989,0,0
942,1989,0,0
943,1989,0,0
944,1989,0,0
945,1989,0,0
946,1989,2982.49,0
947,1989,2982.49,0
948,1989,2982.49,0
949,1989,2982.49,0
950,1989,2982.49,0
951,1989,0,994.16
952,1989,0,994.16
953,1989,0,994.16
954,1989,0,994.16
955,1989,0,994.16
956,1989,0,0
957,1989,0,0
958,1989,0,0
959,1989,0,0
960,1989,0,0
961,1989,0,0
962,1989,0,0
963,1989,0,0
964,1989,0,0
965,1989,0,0
966,1989,0,0
967,1989,0,0
968,1989,0,0
969,1989,0,0
970,1989,0,0
971,1989,0,0
972,1989,0,0
973,1989,0,0
974,1989,0,0
975,1989,0,0
976,1989,1012.24,0
977,1989,1012.24,0
978,1989,1012.24,0
979,1989,1012.24,0
980,1989,1012.24,0
981,1989,0,5422.71
982,1989,0,5422.71
983,1989,0,5422.71
984,1989,0,5422.71
985,1989,0,5422.71
986,1989,0,0
987,1989,0,0
988,1989,0,0
989,1989,0,0
990,1989,0,0
991,1989,0,0
992,1989,0,0
993,1989,0,0
994,1989,0,0
995,1989,0,0
996,1989,0,0
997,1989,0,0
998,1989,0,0
999,1989,0,0
1000,1989,0,0
1001,1989,15545.11,0
1002,1989,15545.11,0
1003,1989,15545.11,0
1004,1989,15545.11,0
1005,1989,15545.11,0
1006,1989,0,0
1007,1989,0,0
1008,1989,0,0
1009,1989,0,0
1010,1989,0,0
1011,1989,0,0
1012,1989,0,0
1013,1989,0,0
1014,1989,0,0
1015,1989,0,0
1016,1989,216.91,0
1017,1989,216.91,0
1018,1989,216.91,0
1019,1989,216.91,0
1020,1989,216.91,0
1021,1989,0,0
1022,1989,0,0
1023,1989,0,0
1024,1989,0,0
1025,1989,0,0
1026,1989,0,0
1027,1989,0,0
1028,1989,0,0
1029,1989,0,0
1030,1989,0,0
1031,1989,54227.13,50611.99
1032,1989,54227.13,50611.99
1033,1989,54227.13,50611.99
1034,1989,54227.13,50611.99
1035,1989,54227.13,50611.99
1036,1989,0,0
1037,1989,0,0
1038,1989,0,0
1039,1989,0,0
1040,1989,0,0
1041,1989,0,5422.71
1042,1989,0,5422.71
1043,1989,0,5422.71
1044,1989,0,5422.71
1045,1989,0,5422.71
1046,1989,1084.54,0
1047,1989,1084.54,0
1048,1989,1084.54,0
1049,1989,1084.54,0
1050,1989,1084.54,0
1051,1989,451.89,0
1052,1989,451.89,0
1053,1989,451.89,0
1054,1989,451.89,0
1055,1989,451.89,0
1056,1989,0,0
1057,1989,0,0
1058,1989,0,0
1059,1989,0,0
1060,1989,0,0
1061,1989,216.91,5422.71
1062,1989,216.91,5422.71
1063,1989,216.91,5422.71
1064,1989,216.91,5422.71
1065,1989,216.91,5422.71
1066,1989,0,0
1067,1989,0,0
1068,1989,0,0
1069,1989,0,0
1070,1989,0,0
1071,1989,0,0
1072,1989,0,0
1073,1989,0,0
